region,annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_c,days_continuous_rainfall,river_discharge_cumecs,flood_occurred
Kurnool,2486.7,1174.8,6.17,64.5,28.7,3.2,2765.3,1
Lucknow,1309.1,1012.1,5.39,61.7,32.2,2.2,3645.7,0
Bhubaneswar,300.0,167.2,8.1,56.8,22.6,0.0,1073.2,0
Surat,651.5,425.5,7.8,49.4,23.3,3.4,1830.0,0
Surat,2724.1,1676.6,4.88,69.7,26.1,5.9,4072.6,1
Varanasi,1539.2,770.8,8.83,65.9,27.9,3.4,3025.2,0
Kurnool,1312.0,794.4,8.77,63.0,30.3,6.0,3352.6,0
Bhubaneswar,2867.7,1742.3,7.99,76.5,31.5,12.0,5703.5,1
Patna,2622.4,1796.2,4.59,69.0,38.9,7.8,4943.4,1
Kurnool,1815.9,1611.7,7.61,66.8,26.0,6.9,4832.3,1
Chennai,1609.3,1064.6,8.84,57.9,27.7,1.5,2565.2,0
Kolkata,1714.1,1476.7,5.9,65.9,26.2,6.1,4275.6,1
Lucknow,1947.7,1281.0,7.12,78.4,33.3,4.8,3655.9,1
Lucknow,2840.0,1415.5,7.66,69.5,33.5,6.9,4284.2,0
Lucknow,2074.6,1148.4,6.83,61.9,27.2,3.4,2547.2,1
Lucknow,2271.9,1439.0,6.09,62.0,37.3,5.6,4811.9,1
Chennai,2560.0,1526.8,5.35,59.2,26.2,6.7,5004.8,1
Guwahati,1039.7,873.0,4.93,57.9,33.1,7.0,2746.5,0
Varanasi,2290.7,1730.3,5.66,75.2,34.8,9.4,5273.2,1
Surat,1608.5,1142.4,6.13,62.8,23.6,6.7,3062.2,0
Chennai,300.0,201.3,7.86,51.1,31.3,2.2,1458.0,0
Kochi,416.7,262.0,9.37,52.3,18.1,0.1,403.7,0
Guwahati,1138.2,825.8,6.03,66.4,32.3,4.4,2702.9,0
Kolkata,2145.3,1085.7,7.93,64.3,24.6,2.4,2845.8,0
Lucknow,1874.0,980.3,7.81,60.1,31.3,3.1,3404.1,0
Bhubaneswar,1919.8,1125.8,6.51,63.3,32.0,7.6,4410.1,1
Surat,3068.1,1617.0,5.77,82.9,33.5,6.9,5219.2,1
Varanasi,975.1,735.9,6.52,69.0,32.6,3.1,2962.4,0
Chennai,1782.2,821.8,8.46,71.3,29.2,3.7,2755.0,0
Surat,1997.9,1043.1,7.34,53.9,27.5,3.6,3263.8,0
Surat,1321.4,1131.4,7.23,64.3,28.7,0.0,2989.8,0
Patna,1818.4,1634.6,6.35,65.9,24.5,3.4,3677.3,1
Kurnool,760.0,508.8,7.64,62.9,28.2,3.1,2543.5,0
Chennai,2716.4,1827.9,3.69,77.9,27.8,4.8,4940.1,1
Varanasi,1357.0,1082.9,8.1,66.8,25.8,3.7,3488.8,0
Kurnool,3120.4,1455.0,6.96,62.9,22.0,2.8,2844.4,1
Varanasi,1778.9,1142.3,6.32,61.4,23.9,2.7,3361.5,0
Varanasi,2468.2,1221.6,7.18,69.8,16.4,4.4,3931.2,1
Patna,1765.4,1112.9,8.36,69.4,27.8,5.9,3502.7,0
Bhubaneswar,1780.0,1589.1,7.15,70.2,30.4,8.0,4420.7,1
Guwahati,1420.4,1120.9,6.34,65.9,18.3,2.6,2583.6,0
Lucknow,1877.4,1677.1,4.06,70.5,29.9,6.7,4047.8,1
Lucknow,2006.7,1576.7,4.48,70.9,28.5,2.9,4043.2,1
Kochi,1290.2,933.7,7.04,67.8,24.3,3.5,2806.2,0
Kurnool,1718.7,1356.8,8.04,71.1,27.3,6.8,3961.4,0
Kolkata,1403.4,1047.8,6.33,64.6,33.2,3.7,3737.1,0
Surat,3294.8,2170.7,3.93,74.4,25.1,10.5,5464.5,1
Varanasi,1741.7,1013.0,6.53,63.7,29.3,5.3,3126.5,0
Bhubaneswar,2804.4,1918.4,4.57,67.7,30.4,7.4,5822.9,1
Lucknow,1672.8,947.4,7.34,58.8,25.7,2.9,2732.4,0
Lucknow,1968.5,1317.0,5.11,70.2,33.0,3.7,3641.4,1
